option,mode,repeat,ttl,answered,reply_src,reply_dst,reply_type,detail,sent_summary,reply_summary
none,gre,0,1,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,2,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,3,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,4,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,5,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,6,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,7,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,8,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,9,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,10,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,11,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,12,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,13,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,14,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,15,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,16,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,17,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,18,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,19,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,20,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,21,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,22,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,23,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,24,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,25,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,26,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,27,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,28,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,29,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
none,gre,0,30,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,1,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,2,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,3,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,4,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,5,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,6,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,7,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,8,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,9,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,10,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,11,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,12,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,13,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,14,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,15,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,16,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,17,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,18,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,19,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,20,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,21,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,22,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkctl3,gre,0,23,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
