option,mode,repeat,ttl,answered,reply_src,reply_dst,reply_type,detail,sent_summary,reply_summary
none,icmp,0,1,0,,,no-reply,timeout,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,
none,icmp,0,2,0,,,no-reply,timeout,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,
none,icmp,0,3,1,10.200.235.225,172.21.16.8,icmp-time-exceeded,ttl expired,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 10.200.235.225 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / ICMPerror
none,icmp,0,4,1,10.200.47.1,172.21.16.8,icmp-time-exceeded,ttl expired,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 10.200.47.1 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / ICMPerror / Padding
none,icmp,0,5,0,,,no-reply,timeout,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,
none,icmp,0,6,1,36.110.255.197,172.21.16.8,icmp-time-exceeded,ttl expired,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 36.110.255.197 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / ICMPerror
none,icmp,0,7,0,,,no-reply,timeout,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,
none,icmp,0,8,1,202.97.54.66,172.21.16.8,icmp-time-exceeded,ttl expired,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 202.97.54.66 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / ICMPerror
none,icmp,0,9,1,202.97.59.106,172.21.16.8,icmp-time-exceeded,ttl expired,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 202.97.59.106 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / ICMPerror / Padding
none,icmp,0,10,1,4.15.125.53,172.21.16.8,icmp-time-exceeded,ttl expired,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 4.15.125.53 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / ICMPerror
none,icmp,0,11,0,,,no-reply,timeout,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,
none,icmp,0,12,1,62.67.66.170,172.21.16.8,icmp-time-exceeded,ttl expired,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 62.67.66.170 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / ICMPerror
none,icmp,0,13,0,,,no-reply,timeout,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,
none,icmp,0,14,0,,,no-reply,timeout,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,
none,icmp,0,15,0,,,no-reply,timeout,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,
none,icmp,0,16,0,,,no-reply,timeout,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,
none,icmp,0,17,1,43.131.31.97,172.21.16.8,icmp-echo-reply,target replied,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 43.131.31.97 > 172.21.16.8 echo-reply 0
none,icmp,0,18,1,43.131.31.97,172.21.16.8,icmp-echo-reply,target replied,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 43.131.31.97 > 172.21.16.8 echo-reply 0
none,icmp,0,19,1,43.131.31.97,172.21.16.8,icmp-echo-reply,target replied,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 43.131.31.97 > 172.21.16.8 echo-reply 0
none,icmp,0,20,1,43.131.31.97,172.21.16.8,icmp-echo-reply,target replied,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 43.131.31.97 > 172.21.16.8 echo-reply 0
none,icmp,0,21,1,43.131.31.97,172.21.16.8,icmp-echo-reply,target replied,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 43.131.31.97 > 172.21.16.8 echo-reply 0
none,icmp,0,22,1,43.131.31.97,172.21.16.8,icmp-echo-reply,target replied,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 43.131.31.97 > 172.21.16.8 echo-reply 0
none,icmp,0,23,0,,,no-reply,timeout,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,
none,icmp,0,24,1,43.131.31.97,172.21.16.8,icmp-echo-reply,target replied,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 43.131.31.97 > 172.21.16.8 echo-reply 0
none,icmp,0,25,0,,,no-reply,timeout,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,
none,icmp,0,26,1,43.131.31.97,172.21.16.8,icmp-echo-reply,target replied,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 43.131.31.97 > 172.21.16.8 echo-reply 0
none,icmp,0,27,1,43.131.31.97,172.21.16.8,icmp-echo-reply,target replied,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 43.131.31.97 > 172.21.16.8 echo-reply 0
none,icmp,0,28,1,43.131.31.97,172.21.16.8,icmp-echo-reply,target replied,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 43.131.31.97 > 172.21.16.8 echo-reply 0
none,icmp,0,29,1,43.131.31.97,172.21.16.8,icmp-echo-reply,target replied,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 43.131.31.97 > 172.21.16.8 echo-reply 0
none,icmp,0,30,1,43.131.31.97,172.21.16.8,icmp-echo-reply,target replied,IP / ICMP 172.21.16.8 > 43.131.31.97 echo-request 0,IP / ICMP 43.131.31.97 > 172.21.16.8 echo-reply 0
none,tcp80,0,1,0,,,no-reply,timeout,IP / TCP 172.21.16.8:40001 > 43.131.31.97:http S,
none,tcp80,0,2,0,,,no-reply,timeout,IP / TCP 172.21.16.8:40002 > 43.131.31.97:http S,
none,tcp80,0,3,0,,,no-reply,timeout,IP / TCP 172.21.16.8:40003 > 43.131.31.97:http S,
